"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"486","cucumber-attic/cuke4duke",false,"649","16","31","73","Java","master","MIT License","http://wiki.github.com/aslakhellesoy/cuke4duke","28","261","22","15939","2009-01-28T02:31:23","2011-11-22T09:30:54","2019-09-26T02:29:12","118","39","13","7","4201","22624","1272","[{""blankLines"":128,""codeLines"":2298,""commentLines"":5,""language"":""XML""},{""blankLines"":111,""codeLines"":1772,""commentLines"":50,""language"":""Maven""},{""blankLines"":1540,""codeLines"":9007,""commentLines"":547,""language"":""JavaScript""},{""blankLines"":59,""codeLines"":357,""commentLines"":10,""language"":""Cucumber""},{""blankLines"":203,""codeLines"":1087,""commentLines"":81,""language"":""Scala""},{""blankLines"":1344,""codeLines"":5368,""commentLines"":241,""language"":""Java""},{""blankLines"":78,""codeLines"":435,""commentLines"":15,""language"":""Ruby""},{""blankLines"":2,""codeLines"":88,""commentLines"":0,""language"":""Grails""},{""blankLines"":36,""codeLines"":243,""commentLines"":16,""language"":""CSS""},{""blankLines"":605,""codeLines"":1564,""commentLines"":203,""language"":""HTML""},{""blankLines"":39,""codeLines"":185,""commentLines"":28,""language"":""Ant""},{""blankLines"":2,""codeLines"":16,""commentLines"":0,""language"":""ERB""},{""blankLines"":41,""codeLines"":169,""commentLines"":71,""language"":""Groovy""},{""blankLines"":0,""codeLines"":6,""commentLines"":0,""language"":""JSP""},{""blankLines"":13,""codeLines"":29,""commentLines"":5,""language"":""Clojure""}]","2011-11-22T09:30:53","87af9daf1afb0edccae219f69278fd74139a4a66",true,true,false,false,,"",""
"1259","qubit/cucumber-netbeans-plugin",false,"180","1","30","18","Java","master","MIT License",,"4","51","3","21367","2009-04-28T05:14:38","2010-09-07T02:43:39","2020-01-27T09:53:28","37","11","0","0","319","3537","233","[{""blankLines"":0,""codeLines"":5,""commentLines"":0,""language"":""YAML""},{""blankLines"":1,""codeLines"":585,""commentLines"":6,""language"":""SVG""},{""blankLines"":153,""codeLines"":789,""commentLines"":55,""language"":""Java""},{""blankLines"":63,""codeLines"":465,""commentLines"":106,""language"":""Cucumber""},{""blankLines"":70,""codeLines"":374,""commentLines"":6,""language"":""Ruby""},{""blankLines"":5,""codeLines"":1002,""commentLines"":57,""language"":""XML""},{""blankLines"":27,""codeLines"":312,""commentLines"":0,""language"":""ERB""},{""blankLines"":0,""codeLines"":5,""commentLines"":3,""language"":""Ant""}]","2010-09-07T02:37:12","bb250b30dab249edb135bc504f929ab61887795c",true,false,false,false,"{""Java"":40794,""Ruby"":10579}","bug;change-request;confirmed;feature;invalid",""
"1342","qubit/cucumber-eclipse-plugin",false,"6","1","0","9","Java","master",,"http://members.chello.at/server/modules.html","2","26","0","437","2009-05-05T12:43:29","2009-06-07T04:18:33","2019-08-13T02:23:57","3","3","0","0","1366","6991","514","[{""blankLines"":0,""codeLines"":298,""commentLines"":0,""language"":""XMI""},{""blankLines"":1122,""codeLines"":4982,""commentLines"":501,""language"":""Java""},{""blankLines"":240,""codeLines"":1408,""commentLines"":13,""language"":""ANTLR Grammar""},{""blankLines"":4,""codeLines"":292,""commentLines"":0,""language"":""XML""},{""blankLines"":0,""codeLines"":11,""commentLines"":0,""language"":""INI""}]","2009-06-07T04:18:15","6e79611e40b912b65b69f5692b68d6cabf3dc6e6",true,false,false,false,"{""Java"":240670}","",""
"3625","cucumber-attic/gherkin2",false,"1832","40","121","230","Java","master","MIT License",,"42","389","88","8847","2009-09-01T12:42:05","2016-05-26T04:55:57","2020-12-05T03:15:10","211","36","138","12","6045","66584","2387","[{""blankLines"":221,""codeLines"":1035,""commentLines"":0,""language"":""ERB""},{""blankLines"":4345,""codeLines"":56320,""commentLines"":2136,""language"":""Java""},{""blankLines"":14,""codeLines"":1366,""commentLines"":0,""language"":""JSON""},{""blankLines"":0,""codeLines"":16,""commentLines"":0,""language"":""XML""},{""blankLines"":800,""codeLines"":4831,""commentLines"":150,""language"":""Ruby""},{""blankLines"":194,""codeLines"":1573,""commentLines"":74,""language"":""Cucumber""},{""blankLines"":6,""codeLines"":231,""commentLines"":0,""language"":""Maven""},{""blankLines"":12,""codeLines"":71,""commentLines"":12,""language"":""C#""},{""blankLines"":0,""codeLines"":57,""commentLines"":0,""language"":""MSBuild script""},{""blankLines"":41,""codeLines"":270,""commentLines"":12,""language"":""JavaScript""},{""blankLines"":1,""codeLines"":10,""commentLines"":1,""language"":""Bourne Shell""},{""blankLines"":1,""codeLines"":18,""commentLines"":1,""language"":""Visual Studio Solution""},{""blankLines"":1,""codeLines"":18,""commentLines"":1,""language"":""YAML""},{""blankLines"":409,""codeLines"":768,""commentLines"":0,""language"":""Markdown""}]","2016-05-26T04:55:52","6c8d2fa293bd40b0a67e8dc00cf2ea68dadce607",true,true,false,false,,"",""
"51555","cucumber/cucumber-jvm",false,"6856","38","48","2023","Java","main","MIT License","https://cucumber.io","202","2794","265","32020","2011-06-27T07:49:46","2026-03-12T07:54:08","2026-03-12T07:54:12","1587","52","1543","7","14315","62129","5734","[{""blankLines"":2,""codeLines"":36,""commentLines"":0,""language"":""HTML""},{""blankLines"":3,""codeLines"":11,""commentLines"":0,""language"":""INI""},{""blankLines"":49,""codeLines"":130,""commentLines"":0,""language"":""Text""},{""blankLines"":9,""codeLines"":40,""commentLines"":9,""language"":""CSS""},{""blankLines"":0,""codeLines"":7,""commentLines"":0,""language"":""SVG""},{""blankLines"":15,""codeLines"":131,""commentLines"":0,""language"":""DOS Batch""},{""blankLines"":0,""codeLines"":118,""commentLines"":22,""language"":""XSD""},{""blankLines"":0,""codeLines"":30,""commentLines"":0,""language"":""Awk""},{""blankLines"":159,""codeLines"":623,""commentLines"":8,""language"":""Cucumber""},{""blankLines"":8,""codeLines"":454,""commentLines"":2,""language"":""XML""},{""blankLines"":0,""codeLines"":730,""commentLines"":0,""language"":""JSON""},{""blankLines"":1943,""codeLines"":6671,""commentLines"":23,""language"":""Markdown""},{""blankLines"":0,""codeLines"":25,""commentLines"":1,""language"":""Properties""},{""blankLines"":25,""codeLines"":181,""commentLines"":44,""language"":""Bourne Shell""},{""blankLines"":24,""codeLines"":160,""commentLines"":23,""language"":""YAML""},{""blankLines"":19,""codeLines"":68,""commentLines"":0,""language"":""Kotlin""},{""blankLines"":221,""codeLines"":3256,""commentLines"":71,""language"":""Maven""},{""blankLines"":11796,""codeLines"":49196,""commentLines"":5487,""language"":""Java""},{""blankLines"":24,""codeLines"":106,""commentLines"":43,""language"":""JavaScript""},{""blankLines"":5,""codeLines"":26,""commentLines"":0,""language"":""make""},{""blankLines"":13,""codeLines"":130,""commentLines"":1,""language"":""Freemarker Template""}]","2026-03-12T01:39:17","fb687e279acb3df2023c514ef5fdac5ced213de8",false,false,false,false,"{""Java"":2392496,""Gherkin"":23520,""Groovy"":7986,""FreeMarker"":4644,""JavaScript"":3362,""Kotlin"":2721,""Shell"":2157,""HTML"":1275,""Makefile"":971,""CSS"":680,""Awk"":408}",":baby_bottle: incomplete;:bank: debt;:book: documentation;:broken_heart: breaking change;:bug: bug;:cucumber: core team;:gemini: duplicate;:hourglass: stale;:no_good: wontfix;:pray: help wanted;:question: question;:robot: dependencies;:safety_pin: pinned;:sparkles: kaizen;:thinking: cannot reproduce;:vertical_traffic_light: needs tests;:white_check_mark: accepted;:wrench: build;:zap: enhancement;good first issue;hacktoberfest-accepted;platform: osx;platform: unix;platform: windows;security fix;security vulnerability;spam;status: waiting-for-feedback;thirdparty: intelij idea;thirdparty: quarkus;thirdparty: surefire","cucumber-jvm;java;polyglot-release;tidelift"
"70721","aluedeke/cucumber-jvm-example",false,"9","1","0","9","Java","master",,,"1","10","1","250","2011-10-05T02:01:19","2012-03-29T06:07:25","2016-03-01T11:51:46","2","0","1","1","50","167","2","[{""blankLines"":3,""codeLines"":15,""commentLines"":0,""language"":""Cucumber""},{""blankLines"":42,""codeLines"":103,""commentLines"":0,""language"":""Java""},{""blankLines"":5,""codeLines"":49,""commentLines"":2,""language"":""Maven""}]","2012-03-29T06:07:13","5f79be99eb57208170a2d467fef67e033a3bb8d5",true,false,false,false,,"",""
"84690","zsoltfabok/cucumber-jvm-post",false,"22","7","0","10","Java","master",,"http://zsoltfabok.com/","4","16","1","192","2011-12-01T10:39:04","2012-10-04T12:55:55","2019-06-17T06:59:23","2","0","0","0","87","497","24","[{""blankLines"":0,""codeLines"":18,""commentLines"":0,""language"":""JSP""},{""blankLines"":7,""codeLines"":26,""commentLines"":0,""language"":""Markdown""},{""blankLines"":2,""codeLines"":14,""commentLines"":0,""language"":""Cucumber""},{""blankLines"":60,""codeLines"":245,""commentLines"":2,""language"":""Java""},{""blankLines"":7,""codeLines"":70,""commentLines"":3,""language"":""Ant""},{""blankLines"":0,""codeLines"":5,""commentLines"":1,""language"":""YAML""},{""blankLines"":11,""codeLines"":119,""commentLines"":18,""language"":""XML""}]","2012-10-04T12:55:31","4e2b40dc757debf859bd56493b0548a3d6a7f6ec",true,false,false,false,,"",""
"114588","talios/cucumber-testng-factory",false,"26","2","2","9","Java","master",,,"5","14","3","166","2012-03-03T05:45:31","2013-04-13T12:28:03","2020-10-15T12:58:29","5","0","3","0","102","421","7","[{""blankLines"":6,""codeLines"":23,""commentLines"":0,""language"":""Cucumber""},{""blankLines"":74,""codeLines"":272,""commentLines"":6,""language"":""Java""},{""blankLines"":12,""codeLines"":111,""commentLines"":1,""language"":""Maven""},{""blankLines"":10,""codeLines"":15,""commentLines"":0,""language"":""Markdown""}]","2013-04-13T12:27:28","7804f7d15244e2c61271f7d1f57299658407c9f8",true,false,false,false,,"",""
"121021","jeromebenois/play-cucumber",false,"26","1","0","13","Java","master",,,"4","20","3","9048","2012-03-14T08:45:13","2015-12-08T09:27:16","2018-06-13T02:56:28","5","3","4","0","796","14096","276","[{""blankLines"":583,""codeLines"":1619,""commentLines"":201,""language"":""JavaScript""},{""blankLines"":43,""codeLines"":539,""commentLines"":0,""language"":""HTML""},{""blankLines"":6,""codeLines"":43,""commentLines"":0,""language"":""Ant""},{""blankLines"":19,""codeLines"":92,""commentLines"":14,""language"":""Python""},{""blankLines"":17,""codeLines"":10835,""commentLines"":41,""language"":""CSS""},{""blankLines"":3,""codeLines"":10,""commentLines"":6,""language"":""YAML""},{""blankLines"":14,""codeLines"":22,""commentLines"":0,""language"":""Markdown""},{""blankLines"":0,""codeLines"":288,""commentLines"":0,""language"":""SVG""},{""blankLines"":111,""codeLines"":648,""commentLines"":14,""language"":""Java""}]","2015-12-08T09:27:16","d3b3ad055570a93fc3a82129694621ec46a8aaf0",true,false,false,false,,"",""
"137265","damianszczepanik/cucumber-reporting-jenkins",true,"130","2","10","11","Java","master",,,"28","152","9","3417","2012-04-14T07:19:01","2019-05-17T09:50:03","2020-03-15T12:34:25","154","0","21","1","90","389","30","[{""blankLines"":70,""codeLines"":252,""commentLines"":7,""language"":""Java""},{""blankLines"":6,""codeLines"":40,""commentLines"":11,""language"":""XML""},{""blankLines"":2,""codeLines"":4,""commentLines"":4,""language"":""YAML""},{""blankLines"":0,""codeLines"":1,""commentLines"":0,""language"":""Markdown""},{""blankLines"":3,""codeLines"":13,""commentLines"":0,""language"":""HTML""},{""blankLines"":9,""codeLines"":79,""commentLines"":8,""language"":""Maven""}]","2015-12-06T10:35:48","91139dd051052c8de12fbad209a9b0dd36c233d1",false,false,false,false,,"",""
