repo_name,feature_file,scenario_count,scenarios,commits,first_seen,last_modified
cucumber-js,basic.feature,4,Steps with PY strings | Increment variable once | Publish poem | Simple flat steps,2,2011-05-28T00:03:05+02:00,2011-05-30T12:54:18+02:00
cucumber-js,issue001-async_stepdef_callbacks.feature,1,Execute feature with asynchronous step definition,1,2011-05-29T00:12:01+02:00,2011-05-29T00:12:01+02:00
cucumber-js,asynchronous_step_definitions-issue_01.feature,2,Execute feature with asynchronous step definition | Waiting for an asynchronous step to call back,1,2011-06-01T10:31:00+02:00,2011-06-01T10:31:00+02:00
cucumber-js,core.feature,17,"All kinds of steps with And's and But's | simple | Simple flat step | Step definition body is executed several times | Step definition body is executed once | Single-parameter step | Matching group and one-liner DocString | Steps accepting a DocString parameter | Given a step passes | Steps accepting parameters | Matching group and multiline DocString | Given, When, Then, And and But steps | One-liner DocString parameter | Step definition body is executed | All kinds of steps | Three-parameter step | Simple flat steps",9,2011-07-05T23:59:54+02:00,2020-09-04T21:24:53-07:00
cucumber-js,progress_formatter.feature,11,"(1 passed) | one failing scenario with a skipped step | one two-step passing scenario, one two-step scenario with latest step failing | two scenarios, five steps, passing | Given a passing step | Given a failing step | one scenario, two steps, passing | one scenario, one step, failing | one scenario, one step, passing | one scenario, two steps, second failing | (1 failed)",1,2011-07-21T23:49:34+02:00,2011-07-21T23:49:34+02:00
cucumber-js,cli.feature,22,When a step is failing | run a single feature without step definitions | run a single failing feature with an empty hooks file | run a single failing feature with an AfterFeatures hook | 1 scenario (1 failed) | When a step is passing | (1 undefined) | (1 failed) | some scenario | run feature with step definitions in required directory (-r option) | run a single failing feature | some scenario - features/a.feature:2 | run a single feature | (1 passed) | run a single scenario within feature | run feature with non-default step definitions file location specified (-r option) | display Cucumber version | display help | When a step is undefined | second scenario | display help (short flag) | first scenario,29,2011-09-03T23:20:08+02:00,2020-09-04T21:24:53-07:00
cucumber-js,background.feature,21,"step | | containing a | ""a scenario"" has the steps: | step"" passes | Two examples within a rule with a background, plus a feature-level background | step    | | When a second scenario step | ""second example"" has the steps: | ""first example"" has the steps: | When a scenario step | step"" has a passing mapping | One scenario and a background | ""another scenario"" has the steps | Two scenarios and a background | steps... | ""another scenario"" has the steps: | step | a scenario | another scenario | ""a scenario"" has the steps | step   |",7,2011-09-12T22:50:19+02:00,2020-03-18T23:46:04+00:00
cucumber-js,coffeescript_support.feature,2,CoffeeScript step definition | using that mapping,2,2011-10-12T22:24:00+02:00,2012-04-18T12:23:29+02:00
cucumber-js,world_constructor_callback.feature,2,error on missing World instance | Then an error about the missing World instance is raised,1,2012-01-20T12:52:07+01:00,2012-01-20T12:52:07+01:00
cucumber-js,step_definition_snippets.feature,18,"multiple matching groups | outline steps with examples | placeholders in scenario outlines | numbers | Then a ""Given"" step definition snippet for /^I have (\d+) ""([^""]*)"" cucumbers$/ with 2 parameters is suggested | with: | step matching groups | quoted strings | multiple quoted strings | Then a ""Given"" step definition snippet for /^I am a happy veggie \\o\/$/ is suggested | Outline: a scenario | background step | Then a ""Given"" step definition snippet for /^I have some ""([^""]*)"", ""([^""]*)"" and ""([^""]*)"" cucumbers$/ with 3 parameters is suggested | escape regexp special characters | a step resulting in special characters in the expression | a scenario | Outline: escape regexp special characters | Then a ""Given"" example step definition snippet for /^I have ""(.*)"" cucumbers$/ with 1 parameters is suggested",14,2012-02-04T15:20:24+01:00,2022-04-11T08:48:11+01:00
