"sno","repo_name","repo_url","description","stars","language","last_updated","scraped_at","has_features","feature_count","feature_info","is_accessible","accessibility_info","validated_at","id","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","hasWiki","isArchived","isDisabled","isLocked","languages","topics"
"1","git-town/git-town","https://github.com/git-town/git-town","Git branches made easy","3133","Gherkin","2026-04-05T16:03:58Z","2026-04-06T15:26:09.532276","true","1243","1243 .feature files found","true","OK","2026-04-10T07:36:53Z","19825320","false","4921","14","121","143","Gherkin","main","MIT License","https://www.git-town.com","3140","3140","78","62381","2014-05-15T15:44:29Z","2026-04-10T01:57:20Z","2026-04-10T01:57:23Z","31","31","4964","2","false","false","false","false","","command-line,git,git-flow,productivity,workflow"
"2","HarrisClover/RequireCEG","https://github.com/HarrisClover/RequireCEG","Think Like an Engineer: A Neuro-Symbolic collaboration Agent for Generative Software Requirements Elicitation and Self-Review","2","Gherkin","2025-08-02T03:59:18Z","2026-04-06T15:26:27.107127","true","1225","1225 .feature files found","true","OK","2026-04-10T08:22:24Z","1017353800","false","38","1","0","0","Gherkin","main","Apache License 2.0","","2","2","0","67053","2025-07-10T12:05:43Z","2025-08-02T03:59:18Z","2026-03-06T14:15:13Z","0","0","0","0","false","false","false","false","",""
"3","local-web-services/local-web-services","https://github.com/local-web-services/local-web-services","Run AWS CDK and Terraform infrastructure locally — zero code changes required","39","Gherkin","2026-04-05T11:36:02Z","2026-04-06T15:26:09.532556","true","968","968 .feature files found","true","OK","2026-04-10T07:42:44Z","1152278376","false","174","24","30","4","Gherkin","main","MIT License","https://local-web-services.github.io/","39","39","0","16117","2026-02-07T16:34:30Z","2026-04-07T10:17:19Z","2026-04-07T10:17:17Z","2","2","54","0","false","false","false","false","",""
"4","ashwanth1109/gherkin-feature-parser","https://github.com/ashwanth1109/gherkin-feature-parser","N/A","1","Gherkin","2023-01-05T06:25:56Z","2026-04-06T15:26:37.136426","true","843","843 .feature files found","true","OK","2026-04-10T08:47:45Z","238178960","false","26","12","0","0","Gherkin","master","","https://ashwanth1109.github.io/gherkin-feature-parser/","1","1","0","16899","2020-02-04T10:24:45Z","2023-01-05T06:25:56Z","2023-03-09T01:00:06Z","18","18","13","11","true","false","false","false","",""
"5","inukshuk/citeproc","https://github.com/inukshuk/citeproc","A CSL Cite Processor API","20","Gherkin","2025-01-18T13:07:58Z","2026-04-06T15:26:13.132191","true","780","780 .feature files found","true","OK","2026-04-10T07:46:05Z","2144739","false","296","1","0","10","Gherkin","master","","https://github.com/inukshuk/citeproc","20","20","7","755","2011-08-02T19:52:40Z","2025-01-18T13:07:58Z","2025-01-18T13:07:52Z","1","1","10","1","false","false","false","false","",""
"6","cchitsiang/bdd","https://github.com/cchitsiang/bdd","A collection of BDD feature files","2","Gherkin","2021-04-06T10:52:15Z","2026-04-06T15:26:27.107144","true","631","631 .feature files found","true","OK","2026-04-10T08:22:43Z","355153189","false","1","1","0","0","Gherkin","master","","","2","2","0","288","2021-04-06T10:48:11Z","2021-04-06T10:52:15Z","2025-02-23T06:56:31Z","0","0","0","0","true","false","false","false","",""
"7","reqnroll/Reqnroll.ExploratoryTestProjects","https://github.com/reqnroll/Reqnroll.ExploratoryTestProjects","Reqnroll Test Projects for Exploratory Testing","3","Gherkin","2026-03-26T16:04:49Z","2026-04-06T15:26:23.948790","true","607","607 .feature files found","true","OK","2026-04-10T08:12:51Z","834738146","false","83","2","0","4","Gherkin","main","BSD 3-Clause ""New"" or ""Revised"" License","","3","3","3","1411","2024-07-28T07:54:56Z","2026-03-26T16:04:49Z","2026-01-27T20:37:19Z","1","1","2","1","true","false","false","false","",""
"8","CriminalInjuriesCompensationAuthority/q-templates-application","https://github.com/CriminalInjuriesCompensationAuthority/q-templates-application","Apply for compensation questionnaire template","2","Gherkin","2026-03-09T12:19:32Z","2026-04-06T15:26:27.107092","true","512","512 .feature files found","true","OK","2026-04-10T08:21:35Z","234340602","false","465","96","108","1","Gherkin","master","MIT License","","2","2","13","3458","2020-01-16T14:40:19Z","2026-04-09T13:47:22Z","2026-04-09T13:45:31Z","24","24","363","23","true","false","false","false","",""
"9","SU-SWS/linky_clicky","https://github.com/SU-SWS/linky_clicky","Behat tests mean death to linky-clicky","6","Gherkin","2023-04-19T18:37:34Z","2026-04-06T15:26:16.895589","true","484","484 .feature files found","true","OK","2026-04-10T07:57:20Z","22116290","false","1338","46","0","3","Gherkin","5.x","GNU General Public License v2.0","","6","6","16","6237","2014-07-22T18:43:33Z","2023-04-19T18:37:34Z","2023-12-21T11:50:46Z","9","9","228","6","true","false","false","false","","behat"
"10","BRP-API/Haal-Centraal-BRP-bevragen","https://github.com/BRP-API/Haal-Centraal-BRP-bevragen","N/A","38","Gherkin","2026-03-31T05:50:16Z","2026-04-06T15:26:09.532580","true","373","373 .feature files found","true","OK","2026-04-10T07:43:15Z","144148233","false","4777","17","18","24","Gherkin","master","Other","https://brp-api.github.io/Haal-Centraal-BRP-bevragen/","38","38","15","93474","2018-08-09T12:15:14Z","2026-03-31T05:50:16Z","2026-03-31T05:50:17Z","35","35","1026","6","true","false","false","false","",""
"11","rpm-software-management/ci-dnf-stack","https://github.com/rpm-software-management/ci-dnf-stack","CI tests for the dnf stack","15","Gherkin","2026-03-31T06:00:12Z","2026-04-06T15:26:13.132289","true","364","364 .feature files found","true","OK","2026-04-10T07:48:19Z","36235901","false","3024","45","0","53","Gherkin","main","GNU General Public License v3.0","","15","15","27","20297","2015-05-25T14:32:45Z","2026-04-08T20:31:06Z","2026-03-27T06:58:47Z","34","34","1715","7","true","false","false","false","","ci,dnf,tests"
"12","Sahamati/certification-framework","https://github.com/Sahamati/certification-framework","Certification framework for all Account Aggregator participants.","8","Gherkin","2025-05-27T05:46:44Z","2026-04-06T15:26:13.132506","true","353","353 .feature files found","true","OK","2026-04-10T07:53:12Z","404789029","false","74","4","0","11","Gherkin","v2.1.0","Apache License 2.0","https://sahamati.gitbook.io/certification-framework","9","9","8","440","2021-09-09T16:12:06Z","2025-05-27T05:46:44Z","2026-04-09T10:50:51Z","2","2","11","2","true","false","false","false","","aa-fip,aa-fiu,account-aggregator,fip,fiu,nbfc-aa"
"13","vanderbilt-redcap/redcap_rsvc","https://github.com/vanderbilt-redcap/redcap_rsvc","REDCap Regulatory & Software Validation Committee (RSVC) - Manual validation feature test scripts","18","Gherkin","2026-04-02T20:20:33Z","2026-04-06T15:26:13.132243","true","321","321 .feature files found","true","OK","2026-04-10T07:47:18Z","696537892","false","1724","7","6","17","Gherkin","staging","GNU General Public License v3.0","","18","18","10","4376","2023-09-26T00:24:52Z","2026-04-02T20:20:33Z","2026-04-01T21:34:49Z","70","70","262","0","false","false","false","false","",""
"14","skgopinath/featuretagselector","https://github.com/skgopinath/featuretagselector","N/A","1","Gherkin","2025-05-04T01:04:04Z","2026-04-06T15:26:37.136334","true","300","300 .feature files found","true","OK","2026-04-10T08:45:48Z","977336999","false","2","1","0","1","Gherkin","main","","","1","1","0","692","2025-05-04T00:54:08Z","2025-05-04T01:04:04Z","2025-05-27T01:36:30Z","0","0","0","0","true","false","false","false","",""
