Sno,Filter,Filter command,Example,Result,Threshold,Range
1,/-annotate,Basic Text with Positioning,"magick img2.png -gravity center -pointsize 36 -fill black -annotate +50+100 ""Hello, World!"" output.png","Places the text ""Hello, World!"" at coordinates (50, 100) with black fill, centered on the image.",,
2,,Rotated Text with Stroke,"magick img2.png -gravity south -font Arial -pointsize 48 -fill blue -stroke white -annotate 45 ""Rotated Text"" output_rotated.png","Adds blue text with a white stroke, rotated 45 degrees, placed near the bottom.",,
3,,Text with Undercolor Background:,"magick img2.png -gravity northwest -pointsize 28 -fill yellow -undercolor '#00000080' -annotate +10+10 ""Annotated Text"" output_with_undercolor.png",Adds yellow text with a semi-transparent black undercolor in the top-left corner of the image.,,
4,,Custom Font and Background:,"magick img2.png -font Times-New-Roman -pointsize 40 -fill red -background none -annotate +30+30 ""Custom Font Text"" output_custom_font.png",Uses a custom font (Times-New-Roman) with red text and no background.,,
5,,Multi-line Annotate with Gravity:,"magick img2.png -gravity center -fill white -pointsize 32 -annotate 0 ""Line 1\nLine 2"" output_multiline.png",Places multiline text at the center of the image.,,
6,,Basic Annotation:,"magick img2.png -annotate 0 ""Sample Text"" output_annotate.png","Adds the text ""Sample Text"" without rotation.",,
7,,Rotated Annotation:,"magick img2.png -annotate 45 ""Diagonal Text"" output_rotate.png",Annotates the image with text rotated 45 degrees.,,
8,,Text Annotation with Font Size:,"magick img2.png -pointsize 50 -annotate 0 ""Large Text"" output_large_text.png",Uses a specific font size for annotation.,,
9,,Positioned Text Annotation:,"magick img2.png -annotate +50+100 ""Positioned Text"" output_positioned.png","Places text at specific coordinates (50, 100).",,
10,,Text with Undercolor:,"magick img2.png -undercolor '#ff000080' -annotate +10+20 ""Text with Undercolor"" output_undercolor.png",Adds text with a semi-transparent red background (undercolor).,,
11,,Gravity-Based Annotation:,"magick img2.png -gravity center -annotate 0 ""Centered Text"" output_center.png",Places the text at the center of the image using gravity.,,
12,,Text with Stroke:,"magick img2.png -stroke black -strokewidth 2 -annotate 0 ""Outlined Text"" output_stroke.png",Annotates with an outline around the text.,,
13,,Multi-line Annotation:,"magick img2.png -annotate 0 ""Line 1\nLine 2"" output_multiline.png",Annotates with multiple lines of text.,,
14,,Annotation with Font:,"magick img2.png -font Arial -annotate 0 ""Custom Font Text"" output_font.png",Annotates the image using the Arial font.,,
15,,Annotation with Fill Color:,"magick img2.png -fill blue -annotate 0 ""Blue Text"" output_fill_color.png",Annotates the image with blue-colored text.,,
16,,Annotation with Custom Font and Size:,"magick img2.png -font Times-New-Roman -pointsize 30 -annotate 0 ""Times New Roman Text"" output_custom_font.png","Uses the ""Times-New-Roman"" font and a custom size of 30 for the text.",,
17,,Annotate with Transparency:,"magick img2.png -fill ""rgba(255,0,0,0.5)"" -annotate 0 ""Transparent Text"" output_transparent.png",Annotates text with a semi-transparent red color.,,
18,,Annotate with Shadow Effect:,"magick img2.png -fill white -annotate 0 ""Text with Shadow"" -shadow 80x3+5+5 output_shadow.png",Adds a shadow to the annotated text.,,
19,,Annotation with Kerning (Spacing Between Letters):,"magick img2.png -kerning 10 -annotate 0 ""Spaced Out Text"" output_kerning.png",Annotates with a 10-pixel spacing between letters.,,
20,,Annotation with Shear Transformation:,"magick img2.png -annotate 0x45 ""Sheared Text"" output_shear.png",Shears the text at a 45-degree angle.,,
21,,Annotation Along a Path:,"magick img2.png -draw ""text 100,100 'Text Along Path'"" -annotate 0 ""Path Text"" output_path.png","Annotates text along a specified path (in this case, using basic drawing).",,
22,/-black-threshold,Simple Black Threshold (with percentage):,magick input.jpg -black-threshold 25% output.jpg,"Any pixel value less than 25% brightness will be set to black, and values above will be unchanged.",,
23,,Black Threshold with Hexadecimal Color:,magick input.jpg -black-threshold '#808080' output.jpg,"Pixels darker than the specified hex value (#808080, which is medium gray) are set to black.",,
24,,Black Threshold with RGB Value:,"magick input.jpg -black-threshold 'rgb(128,128,128)' output.jpg","Pixels below the RGB value (128,128,128) will turn black, and other pixels will remain as is.",,
25,,Black Threshold with Specific Gray Value:,magick input.jpg -black-threshold gray50 output.jpg,"Any pixel below 50% gray (mid-gray) is set to black, while brighter pixels stay the same.",,
26,,Black Threshold with Named Color:,magick input.jpg -black-threshold 'gray' output.jpg,All pixels darker than gray (default gray) will become black.,,
27,"/-blur
 radius*sigma lower value indicates higher blur (radius)
 higher indicates higher sigma(sigma)",Simple Blur with Radius and Sigma:,magick input.jpg -blur 0x5 output.jpg,"This applies a Gaussian blur with a sigma of 5, resulting in a moderate blur across the entire image. The radius is automatically computed based on the sigma.",,
