repo_name,feature_file,scenario_count,scenarios,commits,first_seen,last_modified
behave,background.feature,42,"Failing Background Step causes all Scenarios to fail/skipped | Outline: SO1 | Outline: SO2 -- @1.2 Beta | Feature with two Backgrounds should fail (SAD CASE) | SO2 -- @1.1 | Failing Background Step causes all ScenarioOutlines to fail | SO2 -- @1.2 Beta | is marked as failed. | the stuff should be set up | Outline: SO1 -- @1.2 Alpha | Outline: SO2 -- @1.1 | failed | SO2 -- @1.1 Beta | S3 | Feature with a Background and ScenarioOutlines | S2 | Failing Background Step does not prevent that other Scenarios are executed | Failing Background Step causes all Scenarios to fail | Outline: SO1 -- @1.4 Alpha | SO1 -- @1.1 Alpha | Feature Setup | SO1 | Outline: SO1 -- @1.1 Alpha | then other scenarios are still executed. | And I want to avoid duplicating these steps for each scenario | Outline: SO2 -- @1.1 Beta | steps"" | Outline: SO2 -- @1.2 | SO2 | SO1 -- @1.4 Alpha | SO1 -- @1.3 Alpha | SO2 -- @1.3 | S1 | Feature with Background after first Scenario should fail (SAD CASE) | Feature with a Background and Scenarios | steps | Outline: SO1 -- @1.3 Alpha | SO2 -- @1.2 | passed, 2 failed, 0 skipped | SO1 -- @1.2 Alpha | Outline: SO2 | Outline: SO2 -- @1.3",9,2011-12-02T11:35:40+11:00,2025-06-15T22:17:28+02:00
behave,outline.feature,7,Outline: run scenarios with one example table | scenarios that reference invalid subs | run scenarios with examples | outlines | Outline: scenarios that reference invalid subs | Outline: run scenarios with examples | run scenarios with one example table,7,2011-12-02T15:32:04+11:00,2024-05-26T18:05:09+02:00
behave,step-data.feature,9,step with a table and substution | step with a table | step with text that fails | Outline: step with text and substitution | step with text and subtitution | Outline: step with text and subtitution | step with text | step with text and substitution | Outline: step with a table and substution,4,2011-12-02T17:05:20+11:00,2025-06-17T19:30:38+02:00
behave,tags.feature,2,nothing changes | adding the ham,1,2011-12-05T15:03:25+11:00,2011-12-05T15:03:25+11:00
behave,parse.feature,2,custom type parsing | basic parsing,1,2011-12-05T16:52:28+11:00,2011-12-05T16:52:28+11:00
behave,issue0030.feature,2,Ensure --version option is processed correctly | Ensure environment assumptions are correct (Sanity Check),2,2013-02-09T21:46:43+01:00,2016-03-13T18:08:35+01:00
behave,issue0031.feature,1,Given a new working directory,7,2013-02-09T21:46:43+01:00,2025-06-15T22:17:28+02:00
behave,issue0032.feature,3,"One | passed, 0 failed, 0 skipped | Given a new working directory",3,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0035.feature,5,"Select Second Scenario with Tag | Weaker opponent | Select First Scenario with Tag | Stronger opponent | passed, 0 failed, 1 skipped",4,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0040.feature,13,"Given a step fails with ""<name>"" | Outline | ScenarioOutline with Passing Steps | ScenarioOutline with Failing When-Steps | ScenarioOutline with Failing Then-Steps | passed, 1 failed, 0 skipped | Outline: | ScenarioOutline with Mismatched When-Step Example Row | ScenarioOutline with Failing Given-Steps | is counted | As I user | ScenarioOutline with Mismatched Then-Step Example Row | Given a step passes with ""<name>""",5,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0041.feature,7,Outline | Scenario Outline: | Missing Then Step | Missing When Step | Outline: | Missing Given Step | As I user,9,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0044.feature,2,Given a multiline text argument with: | Ensure shell comment lines are not filtered out in multiline text,5,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0046.feature,7,"Successful Execution | Failing Execution | Failing Scenario Example | Passing Scenario Example | passed, 1 failed, 0 skipped | passed, 0 failed, 0 skipped | Passing and Failing Execution",7,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0052.feature,8,"Successful Execution of Tagged Scenario | P1 | @done | Failing Execution of Tagged Scenario | passed, 0 failed, 2 skipped | N2 | F1 | N1",4,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0059.feature,3,"passed, 0 failed, 0 skipped | Use the JSONFormatter | Scenario: P1",2,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0063.feature,6,"ScenarioOutline with Passing Steps | Given a passing step with ""<name>"" | Given1 passing: Alice; | Outline: | Given2 passing: Alice; | ScenarioOutline with Passing and Failing Steps",7,2013-02-09T21:46:43+01:00,2025-08-30T19:20:18+02:00
behave,issue0064.feature,9,"Scenario: | passed, 1 failed, 0 skipped | Failing in Middle Scenario | Failing in Last Scenario | Failing in First Scenario | Given passing | Given failing | Failing in First and Last Scenario | passed, 2 failed, 0 skipped",2,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0065.feature,1,Ensure environment assumptions are correct (Sanity Check),1,2013-02-09T21:46:43+01:00,2013-02-09T21:46:43+01:00
behave,issue0066.feature,5,"Given a step with multiline text: | Ensure multiline text data is cleared for next step | passed, 0 failed, 0 skipped | Given a step with a table: | Ensure table data is cleared for next step",6,2013-02-09T21:46:43+01:00,2025-08-13T23:09:05+02:00
behave,issue0067.feature,8,"with Tables | ScenarioOutline with Examples Table | Given a step with ""<name>"" | Scenario with Tables | Given I add the following employees: | Outline: | passed, 0 failed, 0 skipped | * Examples tables in a ScenarioOutline",4,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0069.feature,4,"steps. | Given a passing step with ""<name>"" | ScenarioOutline with Failing Steps | Outline:",5,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0072.feature,1,Using GHERKIN_COLORS in new working dir,2,2013-02-09T21:46:43+01:00,2016-03-13T18:08:35+01:00
behave,issue0073.feature,12,"Use only RegexMatcher in Step Definitions | Mix ParseMatcher and RegexMatcher in Step Definitions (default=re) | 2 | 3                          # features/passing3.feature:12 | 1 | Given a step passes | passed, 0 failed, 0 skipped | Verify that ParseMatcher is the default matcher | 1                         # features/passing3.feature:2 | Use ParseMatcher and RegexMatcher in Step Definitions (default=re) | 3 | 2                         # features/passing3.feature:7",9,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0075.feature,11,Use empty @feature_list_file (Case 1) | Use @feature_list_file with unknown feature file (Case 2) | Reuse relocated tests | Use @feature_list_file with unknown feature file (Case 1) | Given a step passes | Use @feature_list_file in WORKDIR directory (above features/) | Use feature listfile | Use @feature_list_file in features/ subdirectory (Case 2) | Use empty @feature_list_file in features subdirectory (Case 2) | Use @feature_list_file with some empty lines | Use @feature_list_file with some comment lines,6,2013-02-09T21:46:43+01:00,2015-02-08T11:23:40+01:00
behave,issue0077.feature,5,"When I make a subprocess call ""hello world."" | passed, 0 failed, 0 skipped | When I make a subprocess call ""hello --fail FAIL."" | Subprocess call shows generated output | Subprocess call fails with captured output",5,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0080.feature,4,Given a step passes | # features/basic.feature:2 | run a simple test         # example/example.feature:3 | Show step locations,5,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0081.feature,8,"Given I use the step library ""alice"" | Proof of Concept | Selective step import from step library | With --format=pretty | passed, 0 failed, 0 skipped | Given I use the step library ""alice"" ... passed | # features/use_step_library.feature:2 | Import step library in ""environment.py""",7,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0083.feature,6,ParseError occurs | Invalid scenario which raises ParseError | Given a step passes | Feature Setup | Successful test run | ConfigError occurs,8,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0084.feature,7,"First feature passes, second fails, last passes | Given a step fails | passed, 1 failed, 0 skipped | First feature fails, second feature passes | Given a step passes | First feature passes, second feature fails | Test Setup",4,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0085.feature,8,"Optional group without match | Nested groups without nested match | Run regexp steps with --format=pretty | regex, no nested groups, matching | Optional group with match | Nested groups with nested match | Test Setup | Run regexp steps with --format=plain",8,2013-02-09T21:46:43+01:00,2025-08-30T19:20:18+02:00
behave,issue0092.feature,9,"Scenario: | | When the --format=plain option is used | fails | First example | . When the --format=plain option is used | | DUPLICATED, FIXED-BY: issue #35 solution. | Second example | . DUPLICATED, FIXED-BY: issue #35 solution. | appears before current.",6,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0096.feature,11,Execute steps and error occurs (UNEXPECTED: exception is raised) | STDERR: Alice is alive | Execute steps and one fails (EXPECTATION-MISMATCH: Assert fails) | Execute steps and fail in before_scenario hook | hook: FAILED SUB-STEP: Then a step fails | Execute steps and one fails with stdout capture | Given a step passes | When the following steps should pass: | STDOUT: Alice is alive | Execute steps and one fails with stderr capture | AssertionError: FAILED SUB-STEP: Then a step fails,13,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0099.feature,8,Given a step passes | Run features with feature dir and feature files (other ordering) | When a step passes | Run features with root directory | Run features with root/features directory | Run features with feature files | Given a step passes ... passed | When a step passes ... passed,6,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0109.feature,3,Create user via admin user creation form | Login successfully via login form | Given a new working directory,6,2013-02-09T21:46:43+01:00,2025-08-06T09:07:47+02:00
behave,issue0112.feature,4,"passed, 0 failed, 0 skipped | Given I buy 10 oranges | Bad step ordering causes AmbiguousStep | Good step ordering -- From specific to generic regular expression",9,2013-02-16T14:30:50+01:00,2025-08-06T09:07:47+02:00
behave,issue0114.feature,10,"Run Features with tag, --no-skipped and plain formatter (CASE 3) | Run Features with tag and --no-skipped option (CASE 1) | S2.1 | S1.1 | S3.1 | passed, 0 failed, 2 skipped | Feature Setup | Test Setup | Run Features with tags and --show-skipped option | Run Features with other tag and --no-skipped option (CASE 2)",8,2013-02-19T01:48:12+01:00,2025-08-06T09:07:47+02:00
behave,issue0116.feature,8,E1.2 (XFAIL) | Summary hides list of failed scenarios when all scenarios pass | E1.3 | Summary shows list of failed scenarios when at least one fails | E2.2 | E2.1 (XFAIL) | E1.1 | Test Setup,4,2013-02-19T02:29:07+01:00,2025-08-31T16:59:58+02:00
behave,issue0111.feature,10,"| is ignored by behave: | test scenario | Ensure 2nd scenario can be selected with other tag | S1 | S2 | being ignored | passed, 0 failed, 1 skipped | . is ignored by behave: | Test Setup | Scenario w/ comment on tag-line should run as normal",4,2013-02-21T21:52:54+01:00,2025-08-06T09:07:47+02:00
behave,issue0127.feature,3,Step Definition has no trailing colon (GOOD CASE) | Step Definition has trailing colon (BAD CASE) | Given the following superusers exist:,8,2013-02-28T22:43:48+01:00,2025-08-06T09:07:47+02:00
behave,context.global_params.feature,6,Test Setup Description (Example) | has the same global parameters (and values). | is executed all changes to Context parameters are reverted. | (step) may modify global parameters (values). | Ensure that Global Context parameter is reset for next Scenario | Modify global Context parameter in Scenario Step,2,2013-03-02T14:30:23+01:00,2015-02-08T11:23:40+01:00
behave,context.local_params.feature,3,Ensure that Local Context parameter is not available to next Scenario | Add Local Context parameter in Scenario/Step | is executed all Context object changes are undone.,2,2013-03-02T14:30:23+01:00,2015-02-08T11:23:40+01:00
behave,parser.file_without_feature.feature,8,"Feature File without Feature, only with Tags | Feature File with Scenario, but without Feature keyword | Empty Feature File | Feature File without Feature, only with Comments | Given a step passes | Feature File with Text | Feature File without Feature, only with Empty Lines | Test Setup",1,2013-03-02T18:18:40+01:00,2013-03-02T18:18:40+01:00
behave,issue0042.feature,23,"Outline | Two undefined steps in the middle with passing steps | Two undefined steps in a scenario | Outline: | Two undefined steps in scenario outline | Missing two steps with passes | should be marked as skipped (even failing ones). | One undefined step in a scenario | Two undefined steps and run with tags | Missing two steps and run with tags | When I enter a ""Alice"" | Scenario Outline: | Given an unknown step | Missing one step | Given a file named ""features/issue42_missing5.feature"" with: | Undefined steps are detected if they occur after a failing step | Missing two steps before fails | Scenario: | Missing two steps | Failing step after first undefined step should be marked as skipped | Missing two steps in scenario outline | Missing two steps after fails | When  I enter a ""Alice""",8,2013-03-02T21:25:01+01:00,2025-08-06T09:07:47+02:00
behave,step.execute_steps.feature,5,"A Nested Step Fails with Exception | passed, 0 failed, 0 skipped | Given I go to the supermarket | Execute a number of simple steps (GOOD CASE) | A Nested Step Fails with Assert",4,2013-03-10T20:17:17+01:00,2025-08-06T09:07:47+02:00
behave,step.execute_steps.with_table.feature,3,"Given the following nested steps: | passed, 0 failed, 0 skipped | Given a new working directory",5,2013-03-10T20:17:17+01:00,2025-08-13T23:09:05+02:00
