user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
"Feature: User Authentication
Scenario: Login with correct credentials
Given user is on login page
When user enters username ""hyphen_admin@acmetest.com"" and clicks SEND VERIFICATION CODE, receives code ""34067"", and clicks LOG IN
And nan
What should happen?",['Then User is authenticated and redirected to dashboard with active session'],"In this scenario, the system should successfully authenticate the user with the provided credentials. Upon clicking ""LOG IN"" after entering ""hyphen_admin@acmetest.com"" and receiving code ""34067,"" the system should redirect the user to the application’s main page.",Then User is authenticated and redirected to dashboard with active session,0.5,0.790452022472835,0.9999999999,1.0
"Feature: User Authentication
Scenario: Login with invalid credentials
Given user is on login page
When user enters username ""invalid@test.com"" and password ""wrongpassword"" and clicks LOG IN button
And nan
What should happen?","['Then System displays ""Invalid credentials"" error and user remains on login page']","In this scenario, the system should display an error message indicating that the username or password provided are incorrect. Specifically, the system should inform the user that ""invalid@test.com"" or ""wrongpassword"" are not valid credentials after they click the LOG IN button.","Then System displays ""Invalid credentials"" error and user remains on login page",0.6,0.6419576901199534,0.9999999999,1.0
"Feature: User Authentication
Scenario: Session timeout
Given user is logged in with active session
When user remains inactive for 30 minutes
And nan
What should happen?",['Then Session expires automatically and user is redirected to login page with timeout message'],"In this scenario, the system should automatically log the user out after 30 minutes of inactivity. This should occur because the user remained inactive for the specified timeout period.",Then Session expires automatically and user is redirected to login page with timeout message,0.6666666666666666,0.6115608322995474,0.9999999999,1.0
"Feature: Password Reset
Scenario: Initiate password reset
Given user is on login page
When user clicks FORGOT PASSWORD link
And nan
What should happen?",['Then Password reset form is displayed with email input field'],"In this scenario, the system should redirect the user to the password reset initiation page. This follows the user clicking the ""FORGOT PASSWORD"" link on the login page, initiating the password reset process.",Then Password reset form is displayed with email input field,0.3333333333333333,0.778193834060468,0.9999999999,1.0
"Feature: Password Reset
Scenario: Reset password with verification code
Given user has received password reset email
When user enters verification code from email
And user enters new password ""NewPass@123"", confirms password, and submits form
What should happen?",['Then System updates password and user can login with new credentials'],"In this scenario, the system should successfully reset the user's password to ""NewPass@123"" after the user enters the verification code from the password reset email and submits the form. The system should confirm the new password is saved correctly.",Then System updates password and user can login with new credentials,0.4,0.0,0.9999999999,1.0
"Feature: Create Post
Scenario: Create Post Page Title
Given user is already logged in to application
When user navigates to Create Post Page
And nan
What should happen?","['Then Page title is ""Betterworks Engage - Create Post""']","In this scenario, the system should redirect the user to the Create Post page. This should occur after the user has already logged into the application and initiated navigation to that specific page.","Then Page title is ""Betterworks Engage - Create Post""",0.0,0.6580427366649148,0.9999999999,1.0
"Feature: Create Post
Scenario: Creating a Post
Given user is on Create Post Page
When user clicks CREATE NEW POST BUTTON
And user fills post title and content, selects audience and tags, and clicks PUBLISH POST button
What should happen?",['Then New post appears in feed with correct metadata and visibility settings'],"In this scenario, the system should publish the post with the specified title, content, audience, and tags. Upon clicking the PUBLISH POST button, the post should be successfully created and displayed.",Then New post appears in feed with correct metadata and visibility settings,1.0,0.0,0.9999999999,1.0
"Feature: Create Post
Scenario: Save Post as Draft
Given user is on Create Post Page with unsaved content
When user clicks SAVE AS DRAFT button
And nan
What should happen?",['Then Post is saved to drafts folder and appears with timestamp and auto-save indication'],"In this scenario, the system should save the unsaved content to the user’s draft post, maintaining the current state of the Create Post page. The page should update to reflect the draft status, and the draft post should be accessible for later editing.",Then Post is saved to drafts folder and appears with timestamp and auto-save indication,1.0,0.0,0.9999999999,1.0
"Feature: Profile Management
Scenario: Update User Profile
Given user is on Profile Settings page
When user updates display name field
And user uploads new profile picture and clicks SAVE button
What should happen?",['Then Profile changes are persisted and visible immediately to user and others'],"In this scenario, the system should update the user’s display name and profile picture on the Profile Settings page, reflecting the changes after the user clicks the SAVE button. The new profile picture should replace the previous one and the updated display name should be visible.",Then Profile changes are persisted and visible immediately to user and others,0.2,0.8245892839346382,0.9999999999,1.0
"Feature: Profile Management
Scenario: Change User Password
Given user is on Account Security page
When user enters current password for verification
And user enters new password ""NewSecure@456"", confirms new password, and clicks UPDATE PASSWORD button
What should happen?",['Then Password is successfully changed and takes effect on next login'],"In this scenario, the system should update the user's password to ""NewSecure@456"" upon clicking the UPDATE PASSWORD button, after successfully verifying the current password. The system should then display a confirmation message indicating the password change was successful.",Then Password is successfully changed and takes effect on next login,0.5,0.6397292398431352,0.9999999999,1.0
