project_name,project_url,github_stars,language,domain,feature_name,scenario_name,given,when,then,input_text,acceptance_criteria,acceptance_count,difficulty,gherkin_project,created_utc,source
cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,authentication,User Authentication,User login with valid credentials,A user has registered with valid credentials in the system,The user enters username and password on login page and clicks Login,The system authenticates the user and redirects to dashboard,"The user is using the authentication service. The business requires secure access, clear feedback on failures, audit trails for compliance, and protection against common attacks.",Success message displayed | Session created with secure token | Redirect within 2 seconds | Login event logged,4,medium,cucumber-js,2026-03-16T19:31:38.199586,github-oss
cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,authentication,User Authentication,User login fails with invalid password,A user account exists in the system,User enters correct username but wrong password,System displays error and denies access,Failed login attempts must be logged for security monitoring. Business requires clear error messages without revealing if username exists. Rate limiting prevents brute force attacks.,"Error message: 'Invalid username or password' | Login attempt logged | User stays on login page | After 5 failures, account locked for 15 min",4,medium,cucumber-js,2026-03-16T19:31:38.199586,github-oss
behave,https://github.com/behave/behave,2300,Python,authentication,Password Management,User resets forgotten password via email,User has forgotten password and is on login page,User clicks Forgot Password and enters registered email,System sends password reset link and shows confirmation,"Password reset must be secure with time-limited tokens. Business requires email verification, token expiration tracking, and audit logging of all password changes for compliance.",Email sent within 30 seconds | Reset token expires after 24 hours | Confirmation message displayed | Reset attempt logged,4,medium,behave,2026-03-16T19:31:38.199586,github-oss
robotframework,https://github.com/robotframework/robotframework,1800,Python,authentication,Multi-Factor Authentication,User enables two-factor authentication,User is in security settings and has valid password,User selects Enable 2FA and scans QR code with authenticator app,System requires 2FA verification before changes take effect,"2FA significantly improves account security. Business requires SMS/app-based options, backup codes, and clear recovery procedures for lost devices.",QR code is valid and scannable | System accepts TOTP codes | Backup codes generated and displayed | 2FA status updated,4,medium,robotframework,2026-03-16T19:31:38.199586,github-oss
cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,api,API Rate Limiting,API returns 429 when rate limit exceeded,Client has sent maximum allowed requests in time window,Client sends one more request,System returns 429 Too Many Requests with Retry-After header,"Rate limiting protects API from abuse and DoS attacks. Business requires clear Retry-After headers, rate limit transparency, and different limits per API tier.",HTTP status 429 | Retry-After header present | Client IP logged | Rate limit counter resets after window,4,medium,cucumber-js,2026-03-16T19:31:38.199586,github-oss
jbehave,https://github.com/jbehave/jbehave-core,1200,Java,api,API Error Handling,API returns meaningful error for invalid request,Client submits malformed JSON payload,API endpoint receives and parses the request,API returns 400 Bad Request with detailed error message,"Clear error messages help developers debug integrations quickly. Business requires detailed status codes, error codes, and actionable error descriptions.",Status code 400 | Error code specifies exact issue | Request ID included for logging | Documentation URL provided,4,medium,jbehave,2026-03-16T19:31:38.199586,github-oss
godog,https://github.com/cucumber/godog,1500,Go,api,API Authentication,API rejects requests with invalid API key,Client has invalid or expired API key,Client makes authenticated API request,API returns 401 Unauthorized without processing request,"API key authentication secures service access. Business requires fast rejection, security logging, and support for key rotation.",Status code 401 | Request not processed | Invalid key logged | No data exposure in error,4,medium,godog,2026-03-16T19:31:38.199586,github-oss
behave,https://github.com/behave/behave,2300,Python,dashboard,Dashboard Filters,User filters requirements by status,User is logged in viewing dashboard with requirements,User selects Status filter and chooses 'In Progress',Dashboard displays only In Progress requirements,"Dashboard filtering improves data exploration. Business expects fast results (<1s), accurate counts, active filter indicators, and clear how-to documentation.",Filter applied within 1 second | Only matching results shown | Filter badge shows active state | Results count accurate,4,medium,behave,2026-03-16T19:31:38.199586,github-oss
robotframework,https://github.com/robotframework/robotframework,1800,Python,dashboard,Dashboard Export,User exports dashboard data as CSV,User viewing filtered requirements on dashboard,User clicks Export and selects CSV format,System downloads CSV file with all visible requirements,"Export functionality enables offline analysis and reporting. Business requires support for multiple formats, large dataset handling, and proper encoding.",File downloads within 5 seconds | CSV includes all visible columns | Filename includes timestamp | File properly encoded as UTF-8,4,medium,robotframework,2026-03-16T19:31:38.199586,github-oss
cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,dashboard,Dashboard Real-time Updates,Dashboard updates in real-time when data changes,Two users viewing the same dashboard,First user updates a requirement status,Second user's dashboard updates automatically,"Real-time updates keep users informed of changes made by teammates. Business requires automatic refresh, visual indicators, and conflict handling.",Update received within 2 seconds | Visual indicator shows change | User notified of changes | No refresh required,4,medium,cucumber-js,2026-03-16T19:31:38.199586,github-oss
